,岗位名称,公司名称,城市,地点,薪资,基本要求,公司状况,岗位技能,公司福利
392,数据分析实习（可留意）,算话智能科技有限公司,上海,[中山公园],3k-5k,3k-5k 经验不限 / 不限,"数据服务,移动互联网 / B轮 / 50-150人",大数据 数据分析,“优秀团队、股票期权、绩效奖金、福利补贴”
393,数据分析总监,GeexFinance,上海,[杨浦区],25k-35k,25k-35k 经验5-10年 / 本科,金融 / A轮 / 150-500人,金融 风控,"“精英团队,高速发展,五险一金,公司团建”"
394,数据分析经理,GeexFinance,上海,[杨浦区],20k-30k,20k-30k 经验3-5年 / 本科,金融 / A轮 / 150-500人,银行 数据分析,"“数据分析,高端人才”"
395,数据分析专家,拼多多,上海,[长宁区],20k-40k,20k-40k 经验3-5年 / 本科,"电商,移动互联网 / 上市公司 / 2000人以上",电商,"“公司发展快,个人成长大,福利待遇好”"
396,搜索团队-数据分析师(BI),拼多多,上海,[长宁区],25k-50k,25k-50k 经验3-5年 / 本科,"电商,移动互联网 / 上市公司 / 2000人以上",电商 数据分析 MySQL,“拼多多”
397,资深数据分析专家,拼多多,上海,[长宁区],30k-60k,30k-60k 经验不限 / 本科,"电商,移动互联网 / 上市公司 / 2000人以上",数据分析,“发展好，薪资福利佳”
398,资深/专家数据分析师,拼多多,上海,[长宁区],20k-40k,20k-40k 经验3-5年 / 本科,"电商,移动互联网 / 上市公司 / 2000人以上",大数据 数据挖掘 数据分析,"“大牛多,成长快,福利好”"
399,资深数据分析师,拼多多,上海,[长宁区],25k-50k,25k-50k 经验3-5年 / 硕士,"电商,移动互联网 / 上市公司 / 2000人以上",电商 移动互联网 数据分析 SQLServer 算法,“上升空间大，成长迅速，平台好，薪酬待遇高”
400,BI数据分析师,虎扑,上海,[江湾],15k-25k,15k-25k 经验1-3年 / 本科,"移动互联网,文娱丨内容 / D轮及以上 / 150-500人",金融 数据挖掘 数据分析,"“快速发展,团队靠谱,大平台”"
401,BI数据分析师,拼多多,上海,[天山路],15k-30k,15k-30k 经验1-3年 / 本科,"电商,移动互联网 / 上市公司 / 2000人以上",大数据 数据挖掘 数据分析,"“大牛云集,亿级用户,福利佳”"
402,BI数据分析师（推荐方向）,拼多多,上海,[长宁区],20k-40k,20k-40k 经验1-3年 / 本科,"电商,移动互联网 / 上市公司 / 2000人以上",电商 大数据 数据挖掘 数据分析,"“平台好,团队优,大牛多”"
403,物流数据分析专家,拼多多,上海,[长宁区],9k-12k,9k-12k 经验1-3年 / 本科,"电商,移动互联网 / 上市公司 / 2000人以上",电商 数据分析 数据运营,"“机会多,福利好,发展快”"
404,反欺诈大数据分析 (MJ000079),信用飞/首付游,上海,[长宁区],20k-30k,20k-30k 经验3-5年 / 本科,移动互联网 / B轮 / 150-500人,风控 信贷风险管理 风险管理 风险分析,“专业培训、扁平管理、晋升通畅、成长空间大”
405,数据分析师,碧桂园集团数字化管理中心,佛山,[顺德区],10k-20k,10k-20k 经验3-5年 / 本科,"数据服务,房产家居 / 不需要融资 / 2000人以上",大数据 房产服务 数据分析,“500强企业，发展好”
406,数据分析师,新明珠集团,佛山,[禅城区],13k-26k,13k-26k 经验3-5年 / 大专,房产家居 / 不需要融资 / 2000人以上,数据分析,“发展前景好”
407,大数据分析师,融山科技,佛山,[顺德区],20k-30k,20k-30k 经验不限 / 硕士,金融 / 不需要融资 / 150-500人,数据挖掘 数据分析 算法,"“大平台,内部资源,空间大,提成高”"
408,数据分析师,美的IoT,佛山,[顺德区],15k-20k,15k-20k 经验3-5年 / 本科,硬件 / 上市公司 / 2000人以上,大数据 移动互联网 数据分析 可视化,“500强，房补车补，带薪年假，六金一险”
409,数据分析师,美的电商,佛山,[顺德区],8k-13k,8k-13k 经验3-5年 / 本科,电商 / 上市公司 / 2000人以上,电商 大数据 数据分析 数据运营 SPSS 商业,“不打卡 团队年轻 领导nice”
410,数据分析资深专家（数据分析经理）,广发银行信用卡中心,佛山,[桂城],25k-40k,25k-40k 经验5-10年 / 本科,金融 / 不需要融资 / 2000人以上,大数据 金融 商业 数据分析 可视化 数据运营,“个性化推荐， 产品策略，模型，业务分析”
411,数据分析(AI方向）,上海中软华腾软件系统有限公司,佛山,[桂城],13k-25k,13k-25k 经验3-5年 / 本科,"企业服务,金融 / 上市公司 / 2000人以上",大数据 数据分析 SPSS BI,"“平安银行外包，平台机会多,技术新颖”"
412,大数据分析工程师,美的集团IT,佛山,[顺德区],18k-35k,18k-35k 经验3-5年 / 本科,硬件 / 上市公司 / 2000人以上,大数据 数据分析,"“六险一金,餐补,节日福利,免费健身房”"
413,数据分析师,碧桂园集团数字化管理中心,佛山,[顺德区],8k-15k,8k-15k 经验5-10年 / 本科,"数据服务,房产家居 / 不需要融资 / 2000人以上",数据分析 数据运营,“500强企业 发展好”
414,产品经理/数据分析师,碧桂园集团数字化管理中心,佛山,[顺德区],8k-15k,8k-15k 经验5-10年 / 本科,"数据服务,房产家居 / 不需要融资 / 2000人以上",数据分析 产品设计 产品策划 交互设计,“世界500强企业”
415,零售数据分析师,碧桂园集团数字化管理中心,佛山,[顺德区],8k-15k,8k-15k 经验1年以下 / 本科,"数据服务,房产家居 / 不需要融资 / 2000人以上",数据分析 SQL,“500强企业 发展好”
416,高级数据分析师,碧桂园集团数字化管理中心,佛山,[顺德区],25k-50k,25k-50k 经验5-10年 / 本科,"数据服务,房产家居 / 不需要融资 / 2000人以上",数据分析 数据处理,“500强企业，发展好”
417,产品经理（数据分析方向）,新明珠集团,佛山,[禅城区],11k-22k,11k-22k 经验3-5年 / 大专,房产家居 / 不需要融资 / 2000人以上,大数据 工具软件 需求分析 数据分析,“行业领先板块”
418,数据分析师,拉勾网,北京,[苏州街],10k-18k,10k-18k 经验1-3年 / 本科,企业服务 / D轮及以上 / 500-2000人,SQL 数据分析 BI SPSS,“业务数据；可视化；分析”
419,数据分析师,斗米,北京,[海淀区],12k-24k,12k-24k 经验1-3年 / 本科,"移动互联网,消费生活 / B轮 / 500-2000人",商业 BI 可视化,“六险一金+团建+互联网创业环境+晋升机制”
420,数据分析师（北京）(J10456),百分点,北京,[大屯],10k-18k,10k-18k 经验5-10年 / 本科,数据服务 / D轮及以上 / 500-2000人,数据分析,“大数据 金融”
421,大数据分析师,海昊大数据,北京,[太平桥],7k-14k,7k-14k 经验1-3年 / 本科,"数据服务,人工智能 / 未融资 / 15-50人",大数据 数据挖掘 数据分析 数据处理,“年底双薪/带薪年假/五险一金/假日礼品”
422,数据分析,木瓜移动,北京,[海淀区],15k-25k,15k-25k 经验3-5年 / 本科,移动互联网 / B轮 / 150-500人,商业 SQL 可视化,“国际化团队，快速成长，扁平化管理”
423,数据分析师,贝壳,北京,[西北旺],15k-25k,15k-25k 经验3-5年 / 本科,房产家居 / D轮及以上 / 2000人以上,MySQL,"“15薪,13天年假,三餐，每月3天病假”"
424,数据分析工程师,洋钱罐,北京,[朝阳区],15k-30k,15k-30k 经验1-3年 / 本科,"移动互联网,金融 / 不需要融资 / 150-500人",数据分析,“十四薪；六险一金；午餐晚餐；”
425,数据分析师（后期产品经理方向）,智慧星光,北京,[海淀区],15k-25k,15k-25k 经验不限 / 本科,数据服务 / 不需要融资 / 500-2000人,大数据 数据分析,"“牛人多,行业第一”"
426,数据分析,猫眼电影,北京,[和平里],15k-30k,15k-30k 经验3-5年 / 不限,文娱丨内容 / 未融资 / 500-2000人,商业,“六险一金”
427,数据分析-媒体研究方向,字节跳动,北京,[海淀区],15k-30k,15k-30k 经验3-5年 / 本科,文娱丨内容 / C轮 / 2000人以上,数据分析,“六险一金，高薪期权，弹性工作，免费三餐”
428,数据分析师,冲顶,北京,[酒仙桥],20k-40k,20k-40k 经验3-5年 / 本科,移动互联网 / C轮 / 50-150人,数据分析,“免费中晚餐 地铁周边”
429,数据分析工程师,小步在家早教,北京,[朝阳区],15k-30k,15k-30k 经验3-5年 / 本科,"移动互联网,教育 / A轮 / 150-500人",教育 移动互联网 数据分析,“六险一金、年终15薪 、每月团建、”
430,数据分析师,Bigo,北京,[五道口],25k-35k,25k-35k 经验3-5年 / 本科,"移动互联网,社交 / 上市公司 / 2000人以上",移动互联网 视频 增长黑客 数据分析 数据运营 BI,“技术支持够、团队氛围好、成长快”
431,资深数据分析师,搜狐集团,北京,[海淀区],15k-30k,15k-30k 经验不限 / 本科,"移动互联网,广告营销 / 上市公司 / 2000人以上",移动互联网 数据分析,“弹性工作”
432,数据分析师(J10099),易车公司,北京,[西直门],8k-10k,8k-10k 经验1-3年 / 本科,"移动互联网,电商 / 上市公司 / 2000人以上",电商 汽车 MySQL 数据处理 数据分析 SQLServer,“大平台，职业发展，福利”
433,数据分析师（流媒体方向）,快手,北京,[西二旗],20k-40k,20k-40k 经验1-3年 / 本科,文娱丨内容 / D轮及以上 / 2000人以上,大数据 数据分析,“大平台、数据量大、团队福利好”
434,数据分析师,贝壳,北京,[海淀区],20k-40k,20k-40k 经验5-10年 / 本科,房产家居 / D轮及以上 / 2000人以上,移动互联网 数据分析 SQL,“福利待遇好、带薪年假、弹性工作”
435,高级数据分析师(J12284),安居客,北京,[大山子],15k-25k,15k-25k 经验5-10年 / 本科,移动互联网 / 上市公司 / 500-2000人,本地生活 分类信息 运营,“六险一金、补充医疗”
436,数据分析师/高级数据分析师,便利蜂,北京,[朝阳区],20k-40k,20k-40k 经验3-5年 / 本科,消费生活 / 不需要融资 / 2000人以上,移动互联网 数据分析 MySQL,“弹性工作制，带薪年假，大牛带队”
437,高级数据分析师,拉勾网,北京,[苏州街],20k-40k,20k-40k 经验5-10年 / 本科,企业服务 / D轮及以上 / 500-2000人,大数据 商业 数据分析,"“经营分析,数据分析,市场分析,行业调研”"
438,高级数据分析师,点众科技,北京,[北太平庄],15k-30k,15k-30k 经验3-5年 / 本科,"移动互联网,文娱丨内容 / 不需要融资 / 150-500人",移动互联网 数据分析 SQLServer,“绩效奖金、年终奖、扁平化管理、境外旅游”
439,数据分析师,途家民宿,北京,[朝阳区],22k-28k,22k-28k 经验3-5年 / 硕士,"移动互联网,消费生活 / D轮及以上 / 500-2000人",BI 数据分析 数据运营,“发展前景好、绩效奖金、期权激励”
440,数据分析师-【社区安全方向】,快手,北京,[西二旗],25k-50k,25k-50k 经验3-5年 / 硕士,文娱丨内容 / D轮及以上 / 2000人以上,股票期权 弹性工作 定期体检 岗位晋升,"“六险一金,免费食堂,免费健身”"
441,业务数据分析,车好多集团,北京,[大山子],20k-30k,20k-30k 经验5-10年 / 本科,消费生活 / D轮及以上 / 2000人以上,新零售 电商 数据分析,“平台大，职位晋升空间大”
442,高级数据分析师(J10476),百分点,北京,[西三旗],20k-30k,20k-30k 经验5-10年 / 本科,数据服务 / D轮及以上 / 500-2000人,大数据 金融,“大数据 AI”
443,数据分析资深专家,度小满金融,北京,[中关村],20k-40k,20k-40k 经验3-5年 / 本科,金融 / A轮 / 500-2000人,数据分析 数据挖掘 数据处理,“福利待遇好”
444,数据分析高级工程师,百度,北京,[海淀区],17k-34k,17k-34k 经验1-3年 / 本科,工具 / 不需要融资 / 2000人以上,数据分析,"“待遇好,平台好”"
445,数据分析师（Q）,京东集团,北京,[亦庄],25k-35k,25k-35k 经验3-5年 / 本科,电商 / 上市公司 / 2000人以上,电商 Hive 数据分析 数据处理 数据挖掘,“核心业务，核心团队，”
446,数据分析开发工程师 (MJ000363),水滴公司,北京,[朝阳区],25k-50k,25k-50k 经验3-5年 / 本科,"移动互联网,医疗丨健康 / C轮 / 2000人以上",数据分析,“行业独角兽 业务数据大”
447,数据分析产品经理,智慧星光,北京,[海淀区],15k-25k,15k-25k 经验3-5年 / 本科,数据服务 / 不需要融资 / 500-2000人,大数据 产品设计 SaaS,"“牛人多,行业第一”"
448,资深数据分析师,贝壳,北京,[上地],35k-55k,35k-55k 经验5-10年 / 本科,房产家居 / D轮及以上 / 2000人以上,Hadoop ETL Hive 数据分析,“优质平台”
449,商业数据分析,拉勾网,北京,[中关村],6k-10k,6k-10k 经验1-3年 / 本科,企业服务 / D轮及以上 / 500-2000人,移动互联网 数据分析 行业分析,“成长空间，六险一金，公司食堂”
450,数据分析师,北京新东方,北京,[中关村],10k-15k,10k-15k 经验不限 / 本科,教育 / 上市公司 / 2000人以上,数据分析 数据库 SPSS,“五险一金、节日礼金、年度体检、员工旅游”
451,数据分析（土木工程、交通工程、铁路相关专业）,北京大成国测科技有限公司,北京,[五道口],5k-6k,5k-6k 经验1年以下 / 大专,"数据服务,其他 / 不需要融资 / 50-150人",通信/网络设备 数据分析,“五险一金 饭补 交通便利”
452,实习生-数据分析,联洋国融,北京,[西城区],4k-5k,4k-5k 经验应届毕业生 / 硕士,数据服务 / 天使轮 / 50-150人,大数据 数据挖掘 数据分析,“唯一能够提供全量大数据服务的公司”
453,数据分析师（校招/PaaS）(J12661),北森云计算,北京,[上地],18k-25k,18k-25k 经验应届毕业生 / 硕士,企业服务 / 上市公司 / 500-2000人,云计算 企业服务 数据分析,“九险一金 弹性工作”
454,数据分析师,一点资讯,北京,[朝阳区],20k-40k,20k-40k 经验3-5年 / 本科,文娱丨内容 / D轮及以上 / 500-2000人,数据分析 数据运营 SQL,"“七险一金,福利待遇好,带薪年假,年终奖金”"
455,数据分析师,绿点科技,北京,[宣武门],6k-10k,6k-10k 经验1-3年 / 本科,移动互联网 / 不需要融资 / 150-500人,数据分析 数据运营,“五险一金，周末双休，带薪年假”
456,数据分析实习生,快手,北京,[西二旗],2k-4k,2k-4k 经验不限 / 本科,文娱丨内容 / D轮及以上 / 2000人以上,股票期权 弹性工作 定期体检 岗位晋升,“完善福利”
457,商业数据分析师,AnG,北京,[朝阳区],20k-30k,20k-30k 经验3-5年 / 大专,"广告营销,移动互联网 / 不需要融资 / 500-2000人",数据分析,“带薪年假，五险一金，优质团队，”
458,数据分析,音娱时光,北京,[海淀区],10k-18k,10k-18k 经验1-3年 / 本科,移动互联网 / A轮 / 50-150人,SQL BI SPSS,“技术大牛多；免费餐饮；氛围好；”
459,数据分析师（数据策略方向）,车好多集团,北京,[朝阳区],15k-30k,15k-30k 经验3-5年 / 本科,消费生活 / D轮及以上 / 2000人以上,电商 汽车 商业 SQL SPSS 数据分析,"“股票期权,独角兽,领导好,团队好”"
460,数据分析,有利网,北京,[三元桥],10k-20k,10k-20k 经验1-3年 / 本科,金融 / 不需要融资 / 2000人以上,数据运营,“五险一金，周末双休，带薪年假、节日福利”
461,数据分析师 (MJ000292),Keep,北京,[东四],10k-20k,10k-20k 经验1-3年 / 不限,"社交,文娱丨内容 / D轮及以上 / 500-2000人",数据分析,“良好发展 晋升机制 七险一金 年终激励”
